m/z,Cont,Ex,Unnamed: 3,Dif,Y/N,Putative_Metabolites
305.097,0.056310236527877,0.0,,-0.056310236527877,Cont,"[M+H]+: Ceceline | Dihydrokalafungin dihydroquinone form | Imicyafos | Tetrangulol | Diazinon | N-Acetylaspartylglutamate | Medphalan | Taxifolin | 6-Methoxy-alpha-pyrufuran | Merphalan | (S)-Chiral alcohol | || [M+Na]+: Agrostophyllin | Niflumic acid | N-(p-Nitrobenzyl)phthalimide | 2,3-Diphenyl-1-indanone | 8-Oxocoformycin | beta-L-Arabinofuranosyl-(1->2)-beta-L-arabinofuranose | 4,4'-Diaminostilbene dihydrochloride"
711.334,0.056017084617053,0.0,,-0.056017084617053,Cont,"[M+H]+: k-Strophanthin-beta | Boivinide A | Nudicauline | Atractyloside H || [M+Na]+: Callichiline | 2-O-Sulfo-2'-stearoyl-alpha,alpha-trehalose"
995.342,0.0,0.05570513949498,,0.05570513949498,Ex,[M+Na]+: Anabaenopeptilide 90B | Landomycin B
597.287,0.055247143670437,0.0,,-0.055247143670437,Cont,[M+H]+: Salannin | Guattegaumerine | Berbamunine | Magnoline || [M+Na]+: Asclepin | Herbimycin | Cucurbitacin A
654.277,0.054864889722647,0.0,,-0.054864889722647,Cont,"[M+H]+: Bromocriptine | Rifamycin W-hemiacetal || [M+Na]+: N1,N5,N10-Tricaffeoyl spermidine | Mesaconitine"
1217.427,0.0,0.054770863978046,,0.054770863978046,Ex,No matches in KEGG
747.223,0.110729460835658,0.165001958209113,,0.054272497373455,,"[M+H]+: 2-O-(beta-D-Mannosyl-(1->2)-beta-D-mannosyl)-bis(myo-inositol) 1,3'-phosphate || [M+Na]+: Flavonol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside"
630.216,0.053289266115109,0.0,,-0.053289266115109,Cont,[M+Na]+: 7''-O-Phosphohygromycin | 4-O-Phosphohygromycin B
823.393,0.053028518472956,0.0,,-0.053028518472956,Cont,[M+H]+: Catharine | Rifampicin | Glycyrrhizinate
298.361,0.052764821460241,0.0,,-0.052764821460241,Cont,No matches in KEGG
463.286,0.052325714514124,0.0,,-0.052325714514124,Cont,[M+H]+: 3-Dehydroecdysone | 10-Desacetyltaxuyunnanin C | Podecdysone B || [M+Na]+: 17-[[3-(1-Pyrrolidinyl)propyl]imino]androst-5-en-3beta-ol acetate | Pfaffic acid
748.23,0.0,0.051824073385883,,0.051824073385883,Ex,[M+Na]+: Acarbose 7IV-phosphate
726.326,0.051743601903275,0.0,,-0.051743601903275,Cont,No matches in KEGG
395.176,0.051489412729871,0.0,,-0.051489412729871,Cont,"[M+H]+: Brucine | Kazinol A | Macluraxanthone | Nigakilactone M | Glaucarubolone | Podolactone B | Deguelin | Aloesin | Specionin | Nigakilactone N | Rotenone | Sanguilutine | N-Pyrrolidino etonitazene | Bixi || [M+Na]+: Biocytin | 17beta-(Acetylthio)estra-1,3,5(10)-trien-3-ol acetate | Syringin | Tanabalin | 16alpha,17alpha-Epoxy-20-oxopregn-5-en-3beta-yl acetate | Deoxycorticosterone acetate | 3alpha-Hydroxy-5beta-p"
741.344,0.051412573865239,0.0,,-0.051412573865239,Cont,[M+Na]+: Vobtusine | Petrobactin | Met-Arg-Tyr-Leu-His
687.368,0.050971332506216,0.0,,-0.050971332506216,Cont,[M+H]+: DSLET || [M+Na]+: Angiotensin (1-5) | Phytolaccoside B
368.441,0.139957024566316,0.091054700585674,,-0.048902323980642,,No matches in KEGG
705.212,0.095186666050921,0.143337073700858,,0.0481504076499369,,[M+Na]+: Pinoresinol diglucoside | Bruceoside A
